Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Cambridge - 1907,1907-02-25,Stranded,"Hound Shoal, near Cross Island",,,,,,,,,,,,,,,,,,,,,,,,,,
City Of St. John - 1893,1893-04-14,Grounded,"Hospital Reef, Clark`s Harbour, Cape Sable Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Montague - 1760,1760-12-01,Sank,Hortonville,,,,,,,,,,,,,,,,,,,,,,,,,,
Elva C. - 1892,1892-03-30,Collision,"Horse Race Shore, Cape Sable",,,,,,,,,,,,,,,,,,,,,,,,,,
Sulina - 1886,1886-11-23,Stranded,"Horse Race Shoal, 4 miles from Cape Sable",,,,,,,,,,,,,,,,,,,,,,,,,,
Orontes - 1917,1917-06-10,Stranded,Horse Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquette - 1845,1845-02-16,Wrecked,"Hopsons Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Adriatique - 1927,1927-07-28,Stranded,"Hope Point, Scatarie Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Helen - 1875,1875-01-07,Stranded,"Holystone Rock, Sandwich Point, Halifax Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Navarra - 1914,1914-12-20,Stranded,Holmes Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk - 1797,1797-01-01,Stranded,"Hiltons Point, near Yarmouth",,,,,,,,,,,,,,,,,,,,,,,,,,
E. Chambers - 1888,1888-01-15,Stranded,Hillsburn,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart - 1920,1920-10-04,Stranded,"Hillsborough Bay, Northumberland Strait",,,,,,,,,,,,,,,,,,,,,,,,,,
E. A. Chisholm - 1922,1922-10-18,Wrecked,Hillsborough Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie Emma - 1879,1879-10-10,Stranded,"High Island, near Beaver Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel - 1881,1881-08-11,Stranded,"Herron Rock, Chedabucto Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Amorette - 1899,1899-05-03,Stranded,"Herring Rocks, entrance to Arichat Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Stag - 1815,1815-04-29,Wrecked,"Herring Cove, shore",,,,,,,,,,,,,,,,,,,,,,,,,,
Westwood - 1876,1876-12-12,Stranded,"Herring Cove, Halifax Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Southwood - 1926,1926-12-06,Stranded,"Herring Cove, Halifax Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
South Head - 1926,1926-12-06,Stranded,Herring Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
HMCS Sorel - 1945,1945-12-13,Grounded,"Henry Island, southern point of",,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fred Archer - 1883,1883-11-12,Stranded,"Hen and Chickens Rocks, Sunday Point, Yarmouth Sound, above",,,,,,,,,,,,,,,,,,,,,,,,,,
Shelburne - 1834,1834-10-01,Stranded,Hen and Chickens Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
Argo - 1875,1875-12-02,Stranded,"Hen and Chickens (rocks), Yarmouth Sound",,,,,,,,,,,,,,,,,,,,,,,,,,
Regina - 1889,1889-12-06,Stranded,"Hell Point, near Lunenburg",,,,,,,,,,,,,,,,,,,,,,,,,,
O. K. Service V - 1944,1944-06-06,Stranded,Hell Point Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatrice - 1888,1888-11-03,Stranded,Hell Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet - 1875,1875-01-01,Stranded,"Head of Ship Harbour, Port Hawkesbury",,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen - 1875,1875-10-10,Stranded,"Head of Ship Harbour, Port Hawkesbury",,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Lark - 1880,1880-12-10,Wrecked,Head Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
W. R. Page - 1886,1886-11-08,Stranded,"Hay Island, near Scatarie Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Areola - 1908,1908-07-08,Stranded,"Hay Cove, St. Paul Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Welliman Hall - 1903,1903-10-30,Burnt,"Hawkport, Minas Basin, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Old Veteran - 1937,1937-10-26,Stranded,Hawkins Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Lass - 1817,1817-01-01,Wrecked,"Hawk Point, Cape Sable Island, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Gipsey - 1838,1838-01-01,Stranded,"Hawk Inlet, Cape Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Oreda - 1907,1907-05-11,Stranded,"Hawbolts Cove, Beaver Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie Smith - 1898,1898-09-19,Stranded,"Havre Boucher, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Ashantee - 1888,1888-05-11,Stranded,"Havre Boucher, 3 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Island - 1836,1836-01-01,Wrecked,Havre Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva May - 1877,1877-09-15,Stranded,Havre Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
Herald - 1877,1877-09-22,Stranded,Havre Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrew - 1898,1898-11-27,Wrecked,"Harts Island, Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Annie C. Hall - 1891,1891-01-01,Stranded,"Hart Island, Strait of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Gleanor - 1896,1896-05-12,Stranded,"Harrington River, mouth of",,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret H. - 1921,1921-11-25,Stranded,"Harrington Cove, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Martha - 1880,1880-07-01,Stranded,Harrigan Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosperite - 1878,1878-09-20,Stranded,"Harriets Ledge, Tusket Islands",,,,,,,,,,,,,,,,,,,,,,,,,,
Baines Hawkins - 1903,1903-07-24,Stranded,Harriet Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Lingley - 1876,1876-05-10,Stranded,"Hariets Ledge, Tusket Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Marie Delphin - 1894,1894-11-06,Stranded,"Hardys Point, Annapolis Basin",,,,,,,,,,,,,,,,,,,,,,,,,,
Trojan - 1891,1891-12-23,Stranded,"Hardings Ledge, South West Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Marey - 1901,1901-12-01,Sank,"Harbourville, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Prudent - 1908,1908-08-01,Stranded,"Harbourville, 1 mile to W of",,,,,,,,,,,,,,,,,,,,,,,,,,
Annie Ethel - 1906,1906-04-26,Stranded,"Harbour Point, Gabarus Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer - 1880,1880-08-06,Stranded,Harbour Island,,,,,,,,,,,,,,,,,,,,,,,,,,
A. J. - 1798,1798-10-26,Wrecked,Hantsport,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Cutts - 1882,1882-01-01,Wrecked,Hantsport,,,,,,,,,,,,,,,,,,,,,,,,,,
Helshiron - 1980,1980-10-12,Wrecked,"Hampton, Bay of Fundy, 2 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Telephone - 1935,1935-09-08,Wrecked,"Hampton, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Delta - 1868,1868-12-07,Capsized,"Halton (Walton, NS ?), 10 miles NW from",,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Boy - 1976,1976-10-16,Grounded,"Halls Harbour, Minas Channel, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Busy - 1807,1807-01-01,Foundered,"Halifax, on station",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Contest - 1828,1828-04-14,Wrecked,"Halifax, on station",,,,,,,,,,,,,,,,,,,,,,,,,,
Chancellor - 1939,1939-12-02,Collision,"Halifax, off, Lat. 44 30` N, Long. 61 51`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Minas Prince - 1940,1940-09-18,Foundered,"Halifax, off, Lat. 43 14` N, Long. 67 35` W (?)",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Chubb - 1812,1812-08-14,Capsized,"Halifax, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde - 1825,1825-01-02,Foundered,"Halifax, off",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Acorn - 1828,1828-04-14,Wrecked,"Halifax, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Hyena - 1847,1847-01-01,Wrecked,"Halifax, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Lux Blanca - 1918,1918-08-05,Sank,"Halifax, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Imperoyal - 1918,1918-08-17,Stranded,"Halifax, off",,,,,,,,,,,,,,,,,,,,,,,,,,
R. L. Mackenzie - 1927,1927-08-20,Burnt,"Halifax, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Bonnie - 1967,1967-02-21,Sinking,"Halifax, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphin - 1776,1776-01-01,Wrecked,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Peter - 1783,1783-01-01,Wrecked,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Halibut - 1809,1809-01-01,Wrecked,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Cuttle - 1814,1814-01-01,Foundered,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Five Brothers - 1814,1814-01-01,Wrecked,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Herring - 1814,1814-01-01,Foundered,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary - 1828,1828-01-01,Wrecked,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Margueritte - 1834,1834-01-01,Wrecked,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Diligence - 1840,1840-10-01,Wrecked,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Gander - 1845,1845-11-01,Wrecked,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers - 1846,1846-01-01,Stranded,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
James Fraser - 1870,1870-09-04,Foundered,"Halifax, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Trepassey - 1964,1964-07-16,Wrecked,"Halifax, approx. 75 miles S of lightship, 43 10`N, 63 10`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Lola M. Cunningham - 1923,1923-01-14,Foundered,"Halifax, 77 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Doris V. Myra - 1917,1917-08-12,Collision,"Halifax, 75 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Sigrid Amanda - 1931,1931-01-13,Collision,"Halifax, 42 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine M. - 1931,1931-10-21,Wrecked,"Halifax, 4 miles ENE of",,,,,,,,,,,,,,,,,,,,,,,,,,
R. M. & S. Dredge 2 - 1941,1941-07-03,Foundered,"Halifax, 3 miles ESE of Halifax East Lightship",,,,,,,,,,,,,,,,,,,,,,,,,,
Endeavor - 1782,1782-12-01,Wrecked,"Halifax, 25 leagues E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Carrie Easter - 1906,1906-03-18,Foundered,"Halifax, 20 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Quickstep - 1906,1906-01-01,Unknown,"Halifax, 150 miles W of",,,,,,,,,,,,,,,,,,,,,,,,,,
Francis A. - 1919,1919-08-25,Collision,"Halifax, 125 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Louisa Maud - 1919,1919-12-18,Stranded,"Halifax, 12 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS North - 1779,1779-12-11,Stranded,"Halifax, 1 mile from Lighthouse",,,,,,,,,,,,,,,,,,,,,,,,,,
St. Ketena - 1789,1789-01-01,Wrecked,"Halifax, 1 mile from Lighthouse",,,,,,,,,,,,,,,,,,,,,,,,,,
Erg - 1943,1943-08-24,Sinking,Halifax Harbour: Bedford Basin,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester - 1960,1960-02-19,Wrecked,"Halifax Harbour, Sandwich Point",,,,,,,,,,,,,,,,,,,,,,,,,,
Petite - 1934,1934-12-27,Wrecked,"Halifax Harbour, Plant Wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Matilda - 1798,1798-09-25,Capsized,"Halifax Harbour, on beach leading to Navy Yard",,,,,,,,,,,,,,,,,,,,,,,,,,
City Of Sydney - 1907,1907-07-01,Collision,"Halifax Harbour, off Georges Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander R. - 1906,1906-04-02,Collision,"Halifax Harbour, near Point Pleasant buoy",,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy - 1929,1929-10-31,Foundered,"Halifax Harbour, near Devils Island",,,,,,,,,,,,,,,,,,,,,,,,,,
W. D. Richard - 1889,1889-04-01,Capsized,"Halifax Harbour, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Fogota - 1958,1958-11-07,Wrecked,"Halifax Harbour, Imperial Oil Dock, lying at",,,,,,,,,,,,,,,,,,,,,,,,,,
Trawler No. 6 - 1921,1921-08-16,Stranded,"Halifax Harbour, Hen and Chicken Shoal",,,,,,,,,,,,,,,,,,,,,,,,,,
Charming Nancy - 1762,1762-01-01,Wrecked,"Halifax Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Helena - 1779,1779-01-01,Stranded,"Halifax Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Tom - 1782,1782-01-01,Wrecked,"Halifax Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
New Home - 1912,1912-11-13,Stranded,"Halifax Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Hebridean - 1940,1940-03-29,Collision,"Halifax Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Alert - 1819,1819-10-27,Stranded,"Halifax Harbour, entrance",,,,,,,,,,,,,,,,,,,,,,,,,,
Ann - 1798,1798-09-25,Stranded,"Halifax Harbour, Dartmouth side",,,,,,,,,,,,,,,,,,,,,,,,,,
William - 1798,1798-09-25,Wrecked,"Halifax Harbour, Black Rock",,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Prince - 1968,1968-05-01,Sank,"Halifax Harbour, at wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
J. L. Crosley - 1891,1891-10-13,Wrecked,"Halifax Harbour, at gas wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
No. 1 - 1927,1927-08-24,Foundered,"Halifax Harbour, at entrance to dry dock",,,,,,,,,,,,,,,,,,,,,,,,,,
Euphrates - 1776,1776-01-01,Stranded,"Halifax Harbour, a few leagues E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Hero - 1905,1905-04-30,Stranded,"Halifax Harbour, 22 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Emmeline D. - 1934,1934-08-04,Sank,"Halifax Harbour, 2 miles off, 2 miles NE of Lightship",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS British Freedom - 1945,1945-01-14,Sank,"Halifax Harbour, 10 km from entrance",,,,,,,,,,,,,,,,,,,,,,,,,,
Regina B. - 1909,1909-10-19,Collision,"Halifax Harbour, 1 mile N of Gas Buoy",,,,,,,,,,,,,,,,,,,,,,,,,,
Parfaitte - 1746,1746-10-13,Burnt,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena - 1779,1779-12-11,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Stag - 1797,1797-01-01,Capsized,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Lynx - 1798,1798-01-01,Sank,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown - 1798,1798-01-01,Sank,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Betsey - 1798,1798-09-25,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty - 1798,1798-09-25,Sank,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Penelope - 1798,1798-09-25,Sank,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy - 1830,1830-01-01,Sank,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir P. Maitland - 1831,1831-12-17,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Castor - 1832,1832-12-20,Sank,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Fleece - 1871,1871-06-23,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
General Canrobert - 1872,1872-04-19,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Sisters - 1873,1873-08-21,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Sailors Home - 1883,1883-11-16,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Tordenskjold - 1885,1885-05-15,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulunda - 1898,1898-04-24,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Irma - 1898,1898-11-22,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna L. Taylor - 1900,1900-01-26,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Mascot - 1902,1902-03-08,Foundered,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Hoover - 1903,1903-11-02,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Albano - 1905,1905-03-25,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Parisian - 1905,1905-03-25,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Havana - 1906,1906-04-26,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotia - 1909,1909-05-11,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Avon - 1911,1911-12-17,Foundered,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayflower - 1913,1913-09-24,Burnt,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiawatha - 1915,1915-09-10,Burnt,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Potomac - 1916,1916-02-19,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Reform - 1916,1916-03-04,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauretta Francis - 1916,1916-03-06,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Radcliffe - 1916,1916-03-22,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Mildred G. Myers - 1917,1917-04-09,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliverance - 1917,1917-06-15,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Grey - 1917,1917-06-27,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
William H. Murray - 1917,1917-10-28,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaca - 1917,1917-12-06,Sank,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Erg - 1917,1917-12-06,Sinking,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Lola R. - 1917,1917-12-06,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Mont Blanc - 1917,1917-12-06,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragus - 1917,1917-12-06,Capsized,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Bernard - 1917,1917-12-06,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Stella Maris - 1917,1917-12-06,Serious damage,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva June - 1919,1919-04-21,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Child - 1919,1919-11-06,Foundered,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrimac - 1919,1919-11-09,Foundered,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Dianthus - 1920,1920-02-11,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrik Lund - 1920,1920-03-06,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosana B. - 1921,1921-06-05,Burnt,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagamore - 1925,1925-02-25,Burnt,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Walden - 1925,1925-11-02,Burnt,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova I - 1929,1929-09-06,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Talaralite - 1933,1933-10-29,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
John G. Chandler - 1940,1940-12-10,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuva Andalucia - 1941,1941-03-22,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Welsford A. - 1941,1941-07-21,Burnt,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurienne - 1942,1942-02-07,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Trongate - 1942,1942-04-10,Sank,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavaltrie - 1942,1942-06-30,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey Dawn Iii - 1945,1945-02-28,Foundered,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandee - 1946,1946-08-28,Wrecked,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie & Elsie - 1946,1946-10-01,Stranded,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendyne - 1957,1957-02-15,Sinking,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Mariner Iii - 1968,1968-06-22,Collision,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendyne - 1979,1979-01-01,Sinking,Halifax Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
HMCS Esquimalt - 1945,1945-04-16,Sinking,Halifax approaches,,,,,,,,,,,,,,,,,,,,,,,,,,
U 190 - 1947,1947-10-21,Sinking,Halifax Approaches,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrude - 1819,1819-01-01,Wrecked,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferdinand - 1871,1871-01-01,Wrecked,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,
Alerte - 1872,1872-01-01,Wrecked,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmouth - 1893,1893-01-01,Damaged,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,
A. W. Perry - 1914,1914-04-01,Damaged,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,
Clam - 1918,1918-08-31,Stranded,Halibut Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Alida - 1875,1875-09-16,Stranded,Half Moons,,,,,,,,,,,,,,,,,,,,,,,,,,
Athol - 1835,1835-06-30,Stranded,Half Moon Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest - 1850,1850-01-01,Wrecked,Half Moon Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
Iris - 1851,1851-12-16,Stranded,Half Moon Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabra Moses - 1875,1875-08-26,Stranded,Half Moon Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosby - 1883,1883-01-01,Wrecked,Half Moon Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
A. B. Crosby - 1883,1883-08-12,Stranded,Half Moon Rocks,198,,,,,,,,,"Schooner, Tern",Loss,Stranted,Judgement Error,,,"Arichat, Nova Scotia , Canada","Boston, Massachusetts , United States",Total Loss. Cargo accounted for $560 of loss.,,,85373,"Halifax, Nova Scotia, Canada",,Sail,"Schooner, Tern",
Bamboro - 1894,1894-04-20,Wrecked,Half Moon Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Earn - 1911,1911-07-16,Stranded,Half Moon Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Eldridge - 1889,1889-07-18,Stranded,Half Bald Tusket Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwalk - 1916,1916-09-30,Stranded,Hadleys Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Britannia - 1907,1907-01-08,Stranded,Haddock Shoals,,,,,,,,,,,,,,,,,,,,,,,,,,
Brilliant Star - 1873,1873-08-24,Stranded,Guysborough Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
David Henry - 1873,1873-08-24,Stranded,Guysborough Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Flirt - 1873,1873-08-24,Stranded,Guysborough Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Wolseley - 1926,1926-06-01,Burnt,Guysborough Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bruce - 1873,1873-08-21,Stranded,Guysborough,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir John A. - 1879,1879-10-29,Stranded,Guysborough,,,,,,,,,,,,,,,,,,,,,,,,,,
William Philpot - 1886,1886-08-03,Stranded,Guysborough,,,,,,,,,,,,,,,,,,,,,,,,,,
Scylla - 1889,1889-12-22,Stranded,Guysborough,,,,,,,,,,,,,,,,,,,,,,,,,,
Rival - 1878,1878-09-02,Stranded,Guyon Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Hattie Lewis - 1888,1888-04-22,Foundered,Guyon Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Donzella - 1915,1915-06-27,Stranded,Guyon Island,,,,,,,,,,,,,,,,,,,,,,,,,,
HMS William - 1807,1807-11-11,Wrecked,Gut of Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Calypso - 1815,1815-12-01,Wrecked,Gut of Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlady - 1820,1820-12-01,Wrecked,Gut of Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Seaflower - 1828,1828-05-01,Wrecked,Gut of Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
